MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
2.333333333,11.66666667,32.32511789,1.25,4.198209411,-5.448209411,0.453942842,0.727526772,-1,0,-1
-20.33333333,22.83333333,32.3076221,0,3.018242876,-3.018242876,-0.180306643,0.651737627,-1,0,-1
5.333333333,0.166666667,6.95251055,-4,0.141763875,3.858236125,-0.792387726,0.470085984,0,0,-1
-406.3333333,354.3333333,-23.6937662,-24.75,4.270536195,20.4794638,-1.112260394,0.313404334,1,-1,-1
66.66666667,-28.66666667,-26.39261245,-11.5,3.752871311,7.747128689,-0.627958396,0.397601052,1,1,-1
-6.833333333,3.333333333,12.66973821,-4,-1.046371251,5.046371251,0.453966843,0.427650089,0,0,-1
-30.83333333,8.833333333,-36.50398128,-13.25,4.779491089,8.470508911,0.502969754,0.35264601,1,0,-1
0.166666667,-23.66666667,43.71811307,7.5,6.21938558,-13.71938558,0.156664311,0.630738078,-1,0,-1
-83.16666667,19.66666667,-29.52444121,-2,4.653498386,-2.653498386,0.420890458,0.357284126,1,0,-1
-56.83333333,-15.16666667,-30.08351706,6,5.852384611,-11.85238461,-0.482268027,0.379400548,1,0,-1
22,-6,3.53188923,-7,6.898111764,0.101888236,-2.30180552,0.440477075,0,1,-1
54.5,-13,105.8917935,-23,1.3260152,21.6739848,-0.476195682,0.7178697,-1,1,-1
14,-21,11.34183466,2.75,2.97064294,-5.72064294,0.886749417,0.547887303,0,1,-1
-41.5,-13,-6.031288725,8,3.333931599,-11.3339316,0.712183339,0.49901322,0,-1,-1
18.5,-21,-23.84357703,-22,-1.372312075,23.37231207,-1.321199083,0.314467195,1,0,-1
-20.83333333,31.33333333,2.083480866,-9.25,3.274231836,5.975768164,-0.945411914,0.445322408,0,0,-1
26.5,-6,30.51085055,22,5.234406613,-27.23440661,1.376369957,0.672908955,-1,0,-1
-0.5,-1.5,1.087008604,-5.5,1.405943919,4.094056081,-1.249969929,0.597247132,0,0,-1
-447.3333333,-35.66666667,-34.61785473,-19,7.528013792,11.47198621,-0.458577248,0.320534712,1,-1,-1
18.33333333,-13.83333333,-17.6370697,-4.75,4.978889723,-0.228889723,-0.645728484,0.239950992,1,0,-1
-132.3333333,67.33333333,-30.18292241,-28,3.98746558,24.01253442,-1.12523244,0.25118977,1,0,-1
-16.33333333,6.833333333,-9.8224548,-5.75,5.184976152,0.565023848,-1.865239376,0.232662247,1,0,-1
47,-12,-25.80099112,-9,5.701735448,3.298264552,-0.271111115,0.455813616,0,1,-1
5.333333333,-12.33333333,37.20365816,6,4.774567056,-10.77456706,0.508062237,0.64366662,-1,0,-1
19,-1.5,-19.14908808,-27.25,2.727539972,24.52246003,-0.748375721,0.353986331,1,0,-1
53.16666667,-42.16666667,-40.63539569,18.5,3.819261517,-22.31926152,0.251774371,0.388346968,1,1,-1
-43.16666667,4.166666667,73.89924871,2.5,-2.30707288,-0.19292712,0.985720495,0.625854621,-1,-1,-1
196.3333333,-186.8333333,6.268044518,1.25,4.090650644,-5.340650644,0.325082902,0.533094494,0,1,-1
