weight of input layer
10th node's weight,0.32189,0.18175,0.116644,0.927777,-0.37946,-0.0176848,0.749819,0.998325,0.183466,0.333864,-0.376446,0.517293,-0.21724,0.771113,-0.412825,0.253169,-0.617381,0.0833355,0.157787,-0.370931,-0.472985,0.962441,0.81984,0.606066,-0.0967204,-0.794118,-0.862489,-0.303833,0.585938,0.115376,0.16717,0.166717,-0.107017,-0.582675,-0.391987,0.0742567,-0.391785,-0.703702,0.449392,-0.854554,-0.200704,0.657788,-0.172993,0.17621,-0.621005,-0.387946,-0.44843,-0.331129,-0.118077,0.949548,-0.442165,-0.610738,-0.947707,-0.935021,0.434545,0.385683,-0.246747,-0.96148,-0.752581,0.530802,0.865195,0.594009,-0.531955,-0.290035,-0.819975,0.900006,-0.860837,-0.770102,-0.165673,0.447948,0.233882,0.850183,0.849748,-0.319396,0.390614,-0.388283,-0.616663,0.062765,0.517415,0.360149,0.520477,0.620523,0.546627,0.658881,0.744682,0.409142,0.944229,-0.870734,0.308944,-0.721308,-0.901851,0.91921,0.121174,-0.624343,-0.63234,-0.549523,0.0219097,-0.27236,-0.367126,0.52328,
11th node's weight,-0.203268,0.312387,0.177315,0.947073,-0.218056,-0.701257,0.368538,-0.16065,-0.516424,0.706029,0.120933,-0.100873,-0.670713,0.607741,0.319571,0.934096,-0.164488,-0.329991,0.830466,-0.436525,0.744404,-0.39774,0.587929,-0.364323,0.876719,0.546055,0.420514,0.938958,-0.943129,0.157138,-0.772972,0.75183,-0.729355,-0.896409,-0.743214,0.248791,-0.330501,-0.819422,0.142511,0.936315,0.88061,-0.349301,-0.698535,0.660434,-0.490244,0.225086,0.260436,-0.345261,0.875956,0.476067,0.456787,-0.813573,-0.860943,0.86641,0.338101,-0.113498,-0.734955,-0.845752,0.725414,0.116809,-0.825582,-0.245884,-1.00392,-0.626805,0.415119,0.287708,0.539555,-0.103124,-0.737876,-0.845399,-0.811894,0.641536,-0.214272,-0.748853,0.761025,-0.995599,-0.66019,-0.530526,-0.491789,0.764276,-0.455155,0.376208,0.794257,0.490418,-0.150977,0.804209,-0.746636,0.770933,0.818643,-0.355667,-0.42039,0.0261664,0.319547,-0.126666,0.770975,0.414408,-0.622805,-0.740295,-0.831495,-0.534682,
12th node's weight,-0.139244,-0.497047,-0.227246,0.850999,-0.311217,0.640414,-0.146552,0.423076,0.612909,-0.834668,0.387761,-0.392834,-0.231149,1.02055,-0.734774,-0.575662,0.681799,0.61815,-0.795559,-0.756553,-0.306508,0.851747,0.372206,0.220631,0.207803,1.00603,-0.889752,-0.483637,-0.522798,-0.141157,0.592183,-0.21124,0.0247247,-0.142096,0.663898,-0.45316,0.52292,0.192166,0.651553,-0.816402,-0.0698983,-0.995666,-0.604784,0.350547,0.58482,1.10486,-0.991375,0.296473,0.836039,-0.676281,0.391523,-0.400124,0.986723,-0.0496327,-0.993651,0.244251,0.840146,-0.0565248,0.61772,0.75169,0.799904,0.479621,-0.0459396,-0.0346771,0.945344,0.744721,0.252881,-0.71184,1.04569,0.266882,0.394328,0.684365,-0.252791,0.99927,0.230009,-0.573595,-0.965123,-0.448431,-0.301364,-0.655865,0.091496,0.684699,1.06944,0.624827,0.0521375,1.02591,0.951914,-0.240146,0.450828,-0.876564,0.0212006,0.0864436,0.400341,0.274592,-0.00177124,0.674353,-1.35452,0.392968,0.720037,0.383162,
1th hidden layer's weight
0th node's weight,-0.0382281,-0.0195216,0.882553,0.268149,-0.70879,-0.528943,-0.775164,-0.0461096,-0.963565,-0.181665,0.505558,-0.969374,0.447231,-0.538452,-0.391377,-0.764918,0.261316,-0.19992,-0.722467,0.0620113,0.212016,0.0611702,0.308021,-0.316829,0.375547,0.00927048,0.777154,-0.483607,0.0944087,-0.310194,-0.821645,0.520546,-0.851381,0.385077,0.680918,-0.874223,0.883751,-0.366921,-0.0731052,-0.927907,-0.796477,0.326108,-0.235572,0.610743,-0.0773351,0.64909,-0.221075,-0.687302,0.637127,-0.784975,0.596381,0.56184,0.822287,-0.251363,0.95693,-0.0661628,-0.580705,0.438907,0.0821558,-0.797397,-0.425702,-0.542224,-0.494836,0.987397,0.19676,0.681322,-0.892145,0.462763,-0.798545,0.0896436,-0.567738,0.177628,0.927455,0.141757,0.811261,-0.508166,-0.452171,0.729818,-0.213739,-0.279939,-0.419329,-0.405563,-0.673161,-0.315467,-0.280002,0.768331,-0.502763,0.872984,0.70958,0.28479,-0.368165,-0.522193,0.809605,-0.653381,0.649746,-0.619938,0.243738,0.459679,0.0764133,-0.27548,
1th node's weight,-0.294272,-0.707421,0.147307,-0.0449207,-0.460273,-0.633101,0.359568,-0.992293,-0.639426,0.902395,0.985801,0.633957,-0.459482,-0.0334685,-0.463549,0.761421,-0.135227,-0.650523,-0.484914,-0.934143,-0.259399,-0.859924,-0.538238,-0.389602,0.0525603,-0.484369,-0.0457274,-0.161257,-0.0553582,-0.626058,-0.484207,0.969073,-0.901768,-0.302181,0.799663,-0.119806,-0.605527,-0.598265,-0.312636,0.934694,0.367138,-0.549001,-0.0957824,-0.935659,-0.0698976,0.202327,-0.07811,-0.112149,0.0655215,0.722024,-0.448388,0.145274,-0.584016,0.431654,0.0247026,0.98397,0.392526,0.772825,0.925819,-0.454027,0.168613,-0.803672,0.13124,0.669935,-0.475078,0.830504,-0.582544,0.192756,0.0263927,0.233873,-0.878434,0.488042,0.549826,0.48093,-0.776131,-0.0649515,-1.00023,-0.156044,-0.977409,-0.288352,0.098896,-0.882087,1.09778,-1.05777,0.676996,-0.0747017,-0.557659,0.635384,0.986282,0.643517,0.460248,-0.162665,-0.91977,0.343027,-0.0434814,-0.527024,-0.507805,-0.470141,0.943865,0.130997,
2th node's weight,0.981575,0.880586,-0.0967325,-0.98035,-0.670989,-0.557555,0.0129676,0.946624,-0.395108,0.239164,-0.537805,0.457244,-0.195311,-0.493027,-0.121477,-0.216357,0.406146,-0.170433,-0.00344354,-0.811727,-0.393143,-0.802139,-0.467716,0.944063,0.655347,0.531646,0.886556,0.421933,0.319475,0.00266654,-0.567122,-0.23716,0.791328,0.500096,0.167607,0.770941,-0.0418232,0.0752447,0.364674,0.027205,0.342764,0.196138,-0.679313,-0.49867,0.867578,0.68006,0.852399,0.603481,0.902217,-0.454474,0.625165,-0.241281,-0.119432,0.381887,-0.876379,0.117622,-0.0428728,-0.346205,0.113136,-0.00425041,-0.822134,0.730572,0.663557,-0.509519,-0.652417,0.0425511,-0.796375,-0.780724,0.330922,0.929733,0.780043,-0.893632,0.871485,0.0705974,0.608536,-0.18602,-1.02886,-0.0917993,0.00367088,-0.0290569,-0.465428,-0.973412,-0.719398,-0.423045,0.00649919,0.982563,0.0925773,-0.296218,-0.767538,-0.47701,-0.0328859,-0.289659,0.484754,0.605429,-0.0351191,0.293644,0.884171,0.570309,0.829859,0.448185,
3th node's weight,0.468026,0.524747,-0.5489,0.25755,0.48547,-0.784357,0.314533,0.147892,-0.449169,-0.955505,-0.293109,0.295175,-0.0425535,0.378896,0.421732,0.129219,0.774903,0.623092,0.899013,0.219527,-0.168375,-0.429758,-0.363626,-0.549183,-0.137266,0.52548,-0.774286,-0.440425,-0.142102,-0.984148,0.521451,0.4416,0.585543,-0.817191,-0.614997,-0.145389,0.716657,0.522411,-0.160941,-0.141916,-0.83561,-0.378213,0.576276,-0.890641,-0.619314,-0.335004,-0.0718213,-0.128113,0.0698366,-0.395951,0.575575,-0.266999,0.431954,-0.952002,-0.333885,0.907138,0.584689,-0.0973958,0.738891,-0.474987,0.503881,0.694369,0.573408,-0.393205,0.174086,-0.654717,0.259323,0.0652458,-0.991428,0.155555,-0.346481,-0.528254,0.432518,-0.678293,-0.0924675,-0.245248,-0.937785,-0.584581,-0.159337,0.949272,-0.758558,-0.48448,0.446744,0.690105,-0.725957,-0.0191563,0.395992,0.625118,-0.886165,-0.562401,0.573048,-0.738855,0.452375,-0.630687,-0.795877,-0.284518,-0.189264,0.825424,-0.122038,-0.0682365,
4th node's weight,-0.302502,-1.00281,0.404144,0.641161,0.209457,0.799505,-0.872914,-0.293519,0.453513,0.214291,-0.779391,-0.583304,0.302729,0.924443,0.262857,0.805539,-0.60905,-0.55531,0.950769,0.138121,0.366266,0.867719,-0.248788,0.897054,-0.00303858,-0.758171,-0.175153,-0.887709,0.278961,-0.634869,0.24515,0.554586,0.115467,-0.798736,0.043016,-0.737852,-0.314117,-0.346275,-0.333186,-0.599121,0.636097,0.818221,0.336626,0.68536,-0.854597,0.245261,0.809405,0.414563,-0.311541,0.350068,-0.0239316,-0.051039,-0.197137,-0.329367,-0.814822,0.338176,-0.113495,-0.460634,0.634278,0.712515,0.269264,-0.12109,0.456479,0.495674,-0.981008,-0.0160792,0.754571,-0.661841,-0.00498152,-0.350429,0.556097,-0.149567,-0.392973,-0.78494,0.38911,-0.27256,-0.46279,0.228603,0.200452,0.0374316,-0.366407,-0.34207,0.430477,0.233586,-0.087534,-0.280754,0.0190445,-0.162467,-0.555446,-0.0826632,-0.871216,0.00728913,0.870118,0.235179,-0.263026,-0.814118,-0.68617,-0.7265,-0.919874,0.894332,
5th node's weight,-0.493562,0.347415,-0.28725,-0.0629628,-0.666046,0.633431,0.644508,0.634235,0.935483,0.727838,-0.371798,-0.547156,-0.0194,0.119013,-0.721814,-0.274368,0.185026,-0.337796,-0.923215,1.01318,-0.0423921,-0.65512,-0.761781,0.127982,0.671778,0.694792,0.730591,-0.258336,-0.434293,0.224021,0.558546,0.40075,-0.13783,-0.0626269,0.330844,0.0679796,-0.999451,0.402998,-0.433208,-0.541471,-0.406288,0.605054,0.42576,0.821783,-0.39084,0.889796,0.707444,-0.539116,0.647564,0.0807604,-0.571073,0.779833,0.868642,0.635721,0.217206,-0.958704,-0.35677,-0.478154,0.910015,0.488984,-0.633845,-0.964055,0.0032802,-0.472254,-0.819311,-0.909996,0.55294,0.580207,-0.0187397,-0.16486,0.119626,-0.895148,-0.200271,-0.863441,0.704038,0.305963,0.516951,-0.512212,-0.643445,0.493861,-0.621762,-0.129765,0.158856,0.295164,0.623944,0.207062,0.592429,-0.793262,-0.11732,-0.924482,-0.778586,-0.57486,-0.475876,0.962049,-0.4224,-0.114983,-0.986192,0.889076,0.932984,0.514744,
