MA_diff1,MA_diff2,MACD,MACD_RATIO,MACD_TSRANK,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
-25.5,12.0,2.930877039,1.377532239,0.666666667,2.0,4.83148822,-6.83148822,0.913681464,0.800037681,-1,-1,-1
-11.33333333,1.8333333330000001,0.055814287000000004,0.03929781,0.066666667,-3.75,5.050755168,-1.300755168,-0.005681171,0.450440416,0,0,-1
2.0,-9.0,-1.144737136,1.3872901430000002,0.8,0.0,2.604184296,-2.604184296,0.48412291799999996,0.0,1,0,-1
-0.666666667,-4.333333333,2.08947165,1.142986758,0.7333333329999999,-0.25,5.730294338999999,-5.480294338999999,0.25252320699999997,0.6252051679999999,-1,0,-1
-8.666666667000001,0.666666667,2.61929561,1.455675826,1.0,2.5,6.4066126379999995,-8.906612638,1.017941299,0.687673567,-1,-1,-1
5.833333333,0.666666667,2.9820393189999996,1.412861659,0.8,1.5,3.1521199889999996,-4.652119989,0.23674469899999998,0.642943018,-1,0,-1
2.5,3.0,3.3439598189999997,0.937257373,0.533333333,0.0,-0.150719897,0.150719897,-1.778781184,0.643217975,-1,0,-1
-12.0,3.0,3.440293594,0.8787978999999999,0.066666667,-0.5,7.265742553,-6.765742553,1.178511302,0.64320481,-1,-1,-1
2.5,4.5,1.28623738,0.970905393,0.4,0.0,1.808884486,-1.808884486,0.0,0.625174572,-1,1,-1
-16.33333333,11.83333333,-2.141610747,2.4326653990000002,0.933333333,-2.75,3.528601614,-0.778601614,-0.847683897,0.357332469,1,-1,-1
-7.5,14.5,-3.4474671619999997,2.0802565019999997,0.8666666670000001,-3.5,3.825714782,-0.325714782,-1.180455969,0.26313177600000004,1,0,-1
-37.33333333,6.333333333,-7.587321636,1.177605085,0.4,-2.0,3.9026336789999996,-1.902633679,-0.041735308,0.250271925,1,-1,-1
-12.33333333,-1.6666666669999999,-13.79031752,1.3646399269999998,0.8,-10.0,5.584493248999999,4.415506751000001,-0.7195631370000001,0.17488101399999997,1,0,-1
26.66666667,-1.6666666669999999,-18.06019658,1.4642264269999998,0.933333333,-14.5,6.129527728999999,8.370472271,-1.249833487,0.12453597599999999,1,0,-1
1.333333333,5.666666667,-19.41434407,1.0963399759999999,0.2,0.0,4.4628692480000005,-4.4628692480000005,-0.06350829,0.306145198,1,0,-1
-11.0,5.0,-16.94582258,0.9301993690000001,0.066666667,1.5,3.7374043830000003,-5.237404383,-2.3641351719999997,0.33054958,1,0,-1
-0.666666667,5.666666667,-16.62949288,0.982567215,0.4,-3.75,3.086166893,0.663833107,-0.5165629270000001,0.296325698,1,0,-1
6.0,-1.0,1.629701391,0.87815398,0.066666667,0.0,0.0,0.0,0.0,0.5,0,1,-1
-1.6666666669999999,-3.333333333,-0.240250794,0.567924303,0.46666666700000003,0.0,4.705759691,-4.705759691,1.0350983390000001,0.500315259,0,0,-1
-5.0,0.0,-3.291402938,1.1604312490000002,0.4,-0.5,3.5429363030000003,-3.0429363030000003,0.913681464,0.0,1,0,-1
-5.333333333,-2.166666667,-0.36927269700000004,-0.8598164779999999,0.133333333,-1.5,3.706418919,-2.206418919,0.0,0.5003158560000001,0,0,-1
-32.66666667,24.16666667,-2.908644411,1.090848613,0.7333333329999999,-1.0,7.5796397429999995,-6.5796397429999995,-1.778781184,0.30022214399999997,1,-1,-1
-30.33333333,17.33333333,-5.610663238,1.273026721,0.8,-2.5,5.927368058,-3.4273680580000003,-0.305503845,0.20000833899999998,1,-1,-1
-22.33333333,1.333333333,-8.928077049,1.278391447,0.666666667,-4.75,5.369434005,-0.619434005,-0.23497210899999998,0.182214121,1,0,-1
-14.66666667,-6.833333333,-10.87380015,1.203124444,0.46666666700000003,-2.5,4.930134876,-2.430134876,0.028614208,0.154069196,1,0,-1
-1.0,-8.5,-12.5656595,1.2369553070000001,0.46666666700000003,-5.0,4.994964735,0.005035265,-0.51644664,0.125027265,1,0,-1
33.33333333,-7.833333333,-16.54001471,1.4019092480000002,1.0,-13.5,5.619093891,7.880906109,-1.547930227,0.09063809199999999,1,1,-1
12.33333333,-1.333333333,-17.67046379,1.304412509,0.6,-10.5,5.0411436389999995,5.4588563610000005,-1.028828257,0.24699142699999999,1,0,-1
9.833333332999999,-2.833333333,-11.11240787,0.998797609,0.666666667,-0.25,-2.733351115,2.983351115,0.633791847,0.42987145,0,1,-1
7.166666667,0.333333333,3.6753372619999998,0.918402112,0.066666667,0.0,2.696499461,-2.696499461,3.16227766,0.8005124929999999,-1,1,-1
-2.166666667,-2.333333333,-0.194942447,0.9902982570000001,0.46666666700000003,0.0,0.0,0.0,0.0,0.0,1,-1,-1
36.0,-20.0,0.8458984279999999,0.8656782590000001,0.4,0.0,3.1115182260000003,-3.1115182260000003,-1.778781184,0.571767664,0,1,-1
28.0,-11.0,5.854194849,1.3631960930000002,0.7333333329999999,1.0,5.472218444,-6.472218444,0.08266187700000001,0.666914322,-1,1,-1
9.666666667000001,-1.6666666669999999,11.27082,1.295353137,0.46666666700000003,6.0,4.7935672480000004,-10.79356725,-0.235892847,0.749722393,-1,0,-1
26.5,-8.0,0.579554377,0.91902211,0.26666666699999997,0.0,2.7115759710000003,-2.7115759710000003,0.0,0.500313873,0,1,-1
18.5,-5.0,1.349342944,1.763873103,0.8666666670000001,2.0,4.649252941,-6.649252941,3.16227766,0.666875828,-1,1,-1
12.33333333,-1.333333333,2.535367114,2.222549543,0.933333333,4.5,8.469569489,-12.96956949,2.135648519,0.846257967,-1,0,-1
-9.0,0.0,5.230567053,2.538713967,0.933333333,9.75,8.731151087999999,-18.48115109,2.2037834519999997,0.909011001,-1,0,-1
6.666666667,-1.6666666669999999,6.686858663,1.5275074309999999,0.666666667,3.75,5.375707872,-9.125707872000001,0.889656045,0.7154232640000001,-1,0,-1
-11.0,1.0,6.101958726,1.095132241,0.133333333,0.0,4.0092106460000005,-4.0092106460000005,-0.041223036,0.7504660329999999,-1,-1,-1
-2.666666667,-1.333333333,3.582743864,0.707000235,0.066666667,-4.0,3.486542673,0.513457327,-6.16791e-17,0.60059693,-1,0,-1
7.0,-2.0,2.195439366,0.5158910760000001,0.066666667,-4.0,3.89765783,0.10234217,-0.562817484,0.500414681,0,1,-1
-4.0,-1.0,-0.595710713,0.9518337090000001,0.333333333,0.0,0.0,0.0,0.0,0.250116877,1,-1,-1
2.833333333,5.166666667,1.363950481,1.7924924130000002,0.8,1.0,4.203553809,-5.203553809,1.204341449,0.5716258120000001,0,0,-1
-14.83333333,2.833333333,4.5508830819999995,1.5402763830000001,0.533333333,3.25,4.702903599999999,-7.952903599999999,0.46356178,0.73674589,-1,-1,-1
-5.666666667,0.666666667,4.4104433389999995,1.2375373,0.46666666700000003,0.25,4.028743843,-4.278743843,0.265904696,0.667219195,-1,-1,-1
-1.0,-4.0,1.651530385,0.951531793,0.6,1.0,2.6919938410000004,-3.6919938410000004,0.6101407120000001,0.583808316,0,0,-1
-13.66666667,15.16666667,3.9772125989999996,1.1793037240000002,1.0,1.5,6.4968868120000005,-7.9968868120000005,0.754672942,0.83335941,-1,-1,-1
-24.5,10.0,5.709589942000001,1.317224116,0.933333333,4.0,6.365089801,-10.3650898,1.098107526,0.800106853,-1,-1,-1
-18.66666667,5.666666667,5.5293746079999995,1.1605317240000002,0.7333333329999999,1.75,5.369776402,-7.119776402,0.842632962,0.6474998129999999,-1,-1,-1
5.0,0.0,-3.38321656,1.472252345,0.8666666670000001,-1.0,3.398739631,-2.3987396309999998,1.018828885,0.375021676,1,0,-1
-12.5,-1.5,6.206099341,1.169765753,0.533333333,1.25,3.32275307,-4.57275307,-0.5183269189999999,0.875358423,-1,-1,-1
-5.166666667,-4.833333333,5.829676471,1.045798196,0.46666666700000003,0.25,3.111733563,-3.361733563,-0.410386129,0.7375496690000001,-1,-1,-1
20.0,-11.0,2.161551326,0.48296845899999996,0.26666666699999997,-6.25,2.6926685530000003,3.5573314469999997,-0.881486216,0.538955506,0,1,-1
29.83333333,-10.33333333,2.611698192,1.335149016,1.0,2.0,-0.001322676,-1.998677324,1.515647873,0.518848615,0,1,-1
10.16666667,-7.166666667,4.800209343,1.859389325,1.0,7.0,3.633266276,-10.63326628,2.583898947,0.6286480179999999,-1,0,-1
-0.666666667,-7.833333333,7.457302587999999,1.983222552,1.0,10.75,7.74730259,-18.49730259,1.757169475,0.7102696340000001,-1,0,-1
18.0,-12.0,8.790343536,1.3770603559999999,0.8,3.75,5.358309785,-9.108309785,0.633698147,0.585919303,0,0,-1
9.0,-1.0,11.74627229,1.051830692,0.133333333,2.75,3.7743618260000003,-6.524361826,-0.432995384,0.750880172,-1,0,-1
-8.166666667000001,1.166666667,13.14764352,1.125707272,0.4,5.25,3.840582879,-9.090582879,1.38243307,0.791263794,-1,0,-1
-1.166666667,2.166666667,13.19733199,0.999887897,0.066666667,-1.0,3.979850289,-2.979850289,0.018307515,0.730082289,-1,0,-1
-15.5,-0.5,14.33016542,1.06660427,0.533333333,4.5,6.292363761,-10.79236376,0.6741789859999999,0.774364787,-1,-1,-1
11.0,-8.0,10.83679152,0.846449736,0.066666667,-5.5,7.053892417999999,-1.5538924180000002,1.536916949,0.5608492389999999,0,1,-1
8.666666667000001,1.333333333,7.226428267999999,0.8262021979999999,0.066666667,-1.25,1.673447718,-0.423447718,2.168952694,0.561764465,0,1,-1
-5.666666667,11.16666667,7.516491875,1.006126506,0.8,3.25,0.642371144,-3.8923711439999997,0.5559849139999999,0.5916194020000001,0,-1,-1
-20.5,2.5,9.099581472999999,1.053702909,0.7333333329999999,1.0,-1.509637998,0.509637998,-0.534290201,0.6056981579999999,-1,-1,-1
5.333333333,0.166666667,6.95251055,0.829002142,0.133333333,-4.0,0.141763875,3.858236125,-0.792387726,0.470085984,0,0,-1
8.0,-0.5,0.17377493100000002,0.114678425,0.066666667,-1.25,2.8198356689999997,-1.5698356690000002,2.242969441,0.464053681,0,1,-1
-1.6666666669999999,3.666666667,0.300112585,0.7197539270000001,0.4,-0.5,5.699455901,-5.199455901,-0.7115124740000001,0.480291191,0,0,-1
-12.0,3.5,1.064842384,1.8774302719999998,0.933333333,1.25,11.737025,-12.987025,1.1106310259999999,0.592786756,0,-1,-1
14.33333333,-4.833333333,0.060864967,-0.229240234,0.066666667,0.25,4.510809774,-4.760809774,-0.47251413700000006,0.500229838,0,1,-1
24.5,-1.0,-0.623577339,2.200479966,1.0,-1.5,4.2975010430000005,-2.797501043,-1.40625,0.421297122,0,1,-1
-16.33333333,2.333333333,5.8914659689999995,0.991715456,0.26666666699999997,0.0,3.360608356,-3.360608356,0.0,0.7086689270000001,-1,-1,-1
17.0,-22.0,-1.097127994,-2.3177320040000002,0.066666667,-1.25,3.5688197010000002,-2.318819701,0.8032543590000001,0.48249475700000005,0,1,-1
43.83333333,-19.83333333,-3.63028577,5.242339656,1.0,-6.0,4.122844296,1.877155704,-0.852223383,0.351998731,1,1,-1
32.5,-13.0,-4.377001568,2.43511451,0.933333333,-5.5,3.6825817639999996,1.817418236,-0.716905165,0.488339533,0,1,-1
25.16666667,-9.166666667000001,-4.114434156000001,1.5112990769999999,0.8666666670000001,-1.0,3.185362193,-2.185362193,-1.99545367,0.376257251,1,1,-1
17.0,-6.0,-3.06411001,0.940894685,0.533333333,4.5,2.746614451,-7.246614451,-1.831945559,0.429795927,0,1,-1
8.666666667000001,-4.166666667,-1.4085670469999998,0.424410395,0.333333333,11.0,2.418874516,-13.41887452,-0.842328583,0.488138379,0,0,-1
4.666666667,-0.666666667,4.34410198,1.71137859,0.7333333329999999,0.5,4.008594097,-4.508594097,-1.163727398,0.522433564,0,0,-1
-4.833333333,-2.166666667,6.477839529,1.437311084,0.533333333,3.25,4.358817182,-7.608817182,-1.0106057929999999,0.560419113,0,0,-1
5.0,1.0,5.742953122,0.933758428,0.26666666699999997,-0.25,1.69481141,-1.44481141,1.4731391269999998,0.592385991,0,1,-1
