0,1,2,3,4,5,6,7,8,9,10,11,12
-9,0,5.230567053,2.538713967,0.933333333,9.75,8.731151088,-18.48115109,2.203783452,0.909011001,-1,0,-1
-11,1,6.101958726,1.095132241,0.133333333,0,4.009210646,-4.009210646,-0.041223036,0.750466033,-1,-1,-1
-2.666666667,-1.333333333,3.582743864,0.707000235,0.066666667,-4,3.486542673,0.513457327,-6.17E-17,0.60059693,-1,0,-1
-4,-1,-0.595710713,0.951833709,0.333333333,0,0,0,0,0.250116877,1,-1,-1
-14.83333333,2.833333333,4.550883082,1.540276383,0.533333333,3.25,4.7029036,-7.9529036,0.46356178,0.73674589,-1,-1,-1
-5.666666667,0.666666667,4.410443339,1.2375373,0.466666667,0.25,4.028743843,-4.278743843,0.265904696,0.667219195,-1,-1,-1
-1,-4,1.651530385,0.951531793,0.6,1,2.691993841,-3.691993841,0.610140712,0.583808316,0,0,-1
-24.5,10,5.709589942,1.317224116,0.933333333,4,6.365089801,-10.3650898,1.098107526,0.800106853,-1,-1,-1
-18.66666667,5.666666667,5.529374608,1.160531724,0.733333333,1.75,5.369776402,-7.119776402,0.842632962,0.647499813,-1,-1,-1
-12.5,-1.5,6.206099341,1.169765753,0.533333333,1.25,3.32275307,-4.57275307,-0.518326919,0.875358423,-1,-1,-1
-5.166666667,-4.833333333,5.829676471,1.045798196,0.466666667,0.25,3.111733563,-3.361733563,-0.410386129,0.737549669,-1,-1,-1
-0.666666667,-7.833333333,7.457302588,1.983222552,1,10.75,7.74730259,-18.49730259,1.757169475,0.710269634,-1,0,-1
-8.166666667,1.166666667,13.14764352,1.125707272,0.4,5.25,3.840582879,-9.090582879,1.38243307,0.791263794,-1,0,-1
-15.5,-0.5,14.33016542,1.06660427,0.533333333,4.5,6.292363761,-10.79236376,0.674178986,0.774364787,-1,-1,-1
-20.5,2.5,9.099581473,1.053702909,0.733333333,1,-1.509637998,0.509637998,-0.534290201,0.605698158,-1,-1,-1
-12,3.5,1.064842384,1.877430272,0.933333333,1.25,11.737025,-12.987025,1.110631026,0.592786756,0,-1,-1
14.33333333,-4.833333333,0.060864967,-0.229240234,0.066666667,0.25,4.510809774,-4.760809774,-0.472514137,0.500229838,0,1,-1
-16.33333333,2.333333333,5.891465969,0.991715456,0.266666667,0,3.360608356,-3.360608356,0,0.708668927,-1,-1,-1
17,-22,-1.097127994,-2.317732004,0.066666667,-1.25,3.568819701,-2.318819701,0.803254359,0.482494757,0,1,-1
-4.833333333,-2.166666667,6.477839529,1.437311084,0.533333333,3.25,4.358817182,-7.608817182,-1.010605793,0.560419113,0,0,-1
-5.666666667,3.666666667,4.50682586,1.128394586,0.8,0.25,1.252798229,-1.502798229,-0.037596727,0.615546304,-1,-1,-1
-2.833333333,-1.666666667,-0.861639291,2.328662183,0.933333333,-1,3.982143918,-2.982143918,0.429526996,0.428757391,0,0,-1
-1.166666667,-4.833333333,2.495571127,4.131227212,1,5,6.152374762,-11.15237476,2.326796547,0.823451665,-1,0,-1
-5.333333333,-0.666666667,-0.970752093,1.075041033,0.8,0,1.742038623,-1.742038623,1.778781184,0.363771116,1,-1,-1
-7.666666667,-0.333333333,9.428468122,1.067254858,0.133333333,2,4.340330523,-6.340330523,0.0941871,0.900102247,-1,-1,-1
